DBN,School Name,Borough,District,Grade Span,Enrollment,ELA Students Tested,ELA Mean Scale Score,ELA % Proficient,ELA % Level 4,ELA Proficiency Percentile (NYC Schools),Math Students Tested,Math Mean Scale Score,Math % Proficient,Math % Level 4,Math Proficiency Percentile (NYC Schools),Average % Proficient,Average Proficiency Percentile (NYC Schools),% Asian and Pacific Islander,% Black,% Hispanic,% White,% Multi-Racial,% Native American,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
21K199,P.S. 199 Frederick Wachtel,Brooklyn,21,PK-5,477,191,443.4,38.2,12.6,38.4,201,453.0,55.2,13.4,46.2,46.7,42.3,25.6,7.1,16.8,46.3,3.6,0.6,29.6,26.2,85.7,82.5
28Q054,P.S. 054 Hillside,Queens,28,K-5,416,188,444.2,40.4,19.1,42.6,195,451.4,52.8,12.8,42.3,46.6,42.4,26.2,4.3,58.4,5.5,1.2,4.3,21.6,36.1,89.7,83.6
19K159,P.S. 159 Isaac Pitkin,Brooklyn,19,PK-5,657,270,441.5,39.3,14.4,40.5,291,452.9,54.0,19.9,44.6,46.6,42.5,60.3,14.5,22.1,0.2,1.1,2.0,18.4,26.2,91.6,89.6
07X154,P.S. 154 Jonathan D. Hyatt,Bronx,7,PK-5,203,90,442.1,35.6,5.6,33.7,92,454.7,57.6,13.0,50.6,46.6,42.2,0.5,39.9,55.7,3.4,0.0,0.5,21.7,10.3,>95%,>95%
27Q273,P.S. 273,Queens,27,PK-5,318,139,447.8,47.5,24.5,54.2,138,449.0,45.7,12.3,31.4,46.6,42.8,11.6,4.1,75.5,1.9,0.9,6.0,19.8,22.0,83.0,78.9
28Q206,P.S. 206 The Horace Harding School,Queens,28,PK-5,550,220,441.1,35.0,12.7,32.4,219,455.2,58.0,17.4,51.1,46.5,41.7,26.7,10.0,24.7,36.5,1.5,0.5,22.4,22.0,86.7,79.2
06M368,The William Lynch School,Manhattan,6,3K-7,359,187,442.8,39.6,16.6,41.5,191,451.7,53.4,14.7,43.7,46.5,42.6,0.8,20.6,56.3,19.5,2.5,0.3,23.4,12.8,67.1,73.1
16K026,P.S. 026 Jesse Owens,Brooklyn,16,3K-5,201,76,445.7,39.5,19.7,41.4,77,451.2,53.2,15.6,43.1,46.4,42.3,3.5,46.8,34.3,12.9,1.0,1.5,29.9,22.4,76.6,81.2
10X159,P.S. 159 Luis Munoz Marin Biling,Bronx,10,K-5,131,69,447.3,44.9,17.4,49.0,72,444.5,47.2,8.3,34.3,46.1,41.6,1.5,10.7,87.8,0.0,0.0,0.0,25.2,21.4,>95%,>95%
17K532,New Bridges Elementary,Brooklyn,17,3K-5,426,133,449.1,45.1,18.0,49.4,132,449.4,47.0,11.4,33.9,46.0,41.7,1.6,71.6,22.3,2.3,0.7,1.4,27.5,7.0,82.6,82.1
07X005,P.S. 5 Port Morris,Bronx,7,3K-8,591,312,445.2,45.2,13.5,49.7,308,449.0,46.8,12.3,33.2,46.0,41.4,0.3,24.4,72.8,1.4,1.0,0.2,28.3,22.8,>95%,>95%
29Q037,Cynthia Jenkins School,Queens,29,PK-5,305,116,444.6,44.0,11.2,48.3,117,449.0,47.9,7.7,35.1,45.9,41.7,1.3,74.1,19.0,2.0,1.3,2.3,24.9,7.9,76.4,79.1
14K120,P.S. 120 Carlos Tapia,Brooklyn,14,3K-5,267,109,443.2,39.4,9.2,41.2,109,452.3,52.3,12.8,41.6,45.9,41.4,1.9,21.7,70.8,4.1,0.7,0.7,28.1,25.8,93.3,93.0
